athlete,avg_hr,avg_power,backend_status,category,classification_confidence,duration_min,file,has_hr,has_power,has_rr,intensity_factor,normalized_power,profile_curve_updated,quality_score,subtype,tss
davide,126.0,155.7,success,UNCLASSIFIED,0.3,117.9,22468344517_ACTIVITY.fit,True,True,False,0.724,183.1,True,1.0,unknown,103.0
davide,128.0,155.4,success,FREE,0.45,319.8,22486859451_ACTIVITY.fit,True,True,False,0.757,191.3,True,0.76,race,305.0
davide,119.7,,success,STEADY,0.55,176.7,22496446769_ACTIVITY.fit,True,False,False,,,False,0.7,endurance_z2,
davide,144.5,200.2,success,HIIT,0.45,116.0,22550239133_ACTIVITY.fit,True,True,False,0.873,220.7,True,1.0,hiit_unspecified,147.3
davide,111.1,128.6,success,FREE,0.45,353.4,22569805903_ACTIVITY.fit,True,True,False,0.677,171.3,True,0.7,race,270.2
davide,110.4,,success,STEADY,0.55,117.2,22578415422_ACTIVITY.fit,True,False,False,,,False,0.76,endurance_z2,
davide,138.3,203.4,success,HIIT,0.45,93.0,22607321330_ACTIVITY.fit,True,True,False,0.921,233.0,True,1.0,hiit_unspecified,131.5
davide,123.4,169.2,success,UNCLASSIFIED,0.3,125.5,22633117108_ACTIVITY.fit,True,True,False,0.753,190.4,True,0.88,unknown,118.6
davide,116.8,,success,STEADY,0.55,535.0,22654692741_ACTIVITY.fit,True,False,False,,,False,0.64,endurance_z2,
davide,115.0,128.2,success,STEADY,0.55,102.8,22667049017_ACTIVITY.fit,True,True,False,0.554,140.0,True,1.0,endurance_z2,52.5
davide,137.0,,success,STEADY,0.55,182.4,22692223292_ACTIVITY.fit,True,False,False,,,False,0.76,endurance_z2,
omar,128.8,192.8,success,HIIT,0.45,42.0,1b8b9962-8fee-4511-a30c-7dcf4281b975.fit,True,True,False,0.848,231.7,True,1.0,hiit_unspecified,50.4
omar,129.9,192.7,success,HIIT,0.45,42.0,5f8840fb-6512-4353-ac14-5c4b1e56a2ee.fit,True,True,False,0.843,230.3,True,1.0,hiit_unspecified,49.8
omar,128.6,181.6,success,UNCLASSIFIED,0.3,71.0,78ec3b13-d1c4-448a-86d6-da34a0942f89.fit,True,True,False,0.723,197.5,True,1.0,unknown,61.9
omar,132.6,182.6,success,UNCLASSIFIED,0.3,51.7,7b64d314-991a-456f-a242-2a220da736ca.fit,True,True,False,0.762,208.2,True,1.0,unknown,50.0
omar,129.6,189.3,success,TEST,0.55,42.0,9072342d-95c9-47ea-864b-0e0880a70039.fit,True,True,False,0.839,229.1,True,1.0,sprint_set,49.3
omar,122.6,164.7,success,STEADY,0.55,102.1,Pedalata_mattutina_1_331_Wh.fit,True,True,False,0.653,178.3,True,0.94,endurance_z2,72.5
omar,96.3,125.0,success,STEADY,0.55,154.5,Pedalata_mattutina_1_503_Wh.fit,True,True,False,0.671,183.2,True,0.7,endurance_z2,115.8
omar,116.3,147.9,success,TEST,0.55,132.6,Pedalata_mattutina_1_518_Wh.fit,True,True,False,0.705,192.5,True,0.94,sprint_set,109.8
omar,78.9,114.0,success,FREE,0.45,226.4,Pedalata_mattutina_1_753_Wh.fit,True,True,False,0.68,185.7,True,0.67,race,174.5
omar,50.3,102.0,success,TEST,0.55,166.6,Pedalata_mattutina_1_978_Wh.fit,True,True,False,0.567,154.8,True,0.58,sprint_set,89.2
omar,131.8,165.1,success,FREE,0.45,307.1,Pedalata_mattutina_3_869_Wh.fit,True,True,False,0.767,209.4,True,0.88,race,300.8
omar,134.9,167.3,success,FREE,0.45,343.6,Pedalata_mattutina_4_403_Wh.fit,True,True,False,0.776,212.1,True,0.88,race,345.2
omar,115.8,137.2,success,TEST,0.55,388.4,Pedalata_mattutina_4_491_Wh.fit,True,True,False,0.619,169.0,True,0.82,sprint_set,247.8
omar,128.4,166.9,success,FREE,0.45,396.5,Pedalata_mattutina_4_846_Wh.fit,True,True,False,0.805,219.9,True,0.76,race,428.5
omar,136.2,194.2,success,UNCLASSIFIED,0.3,432.1,Pedalata_mattutina_5_477_Wh.fit,True,True,False,0.809,220.8,True,0.88,unknown,470.8
omar,118.8,156.6,success,STEADY,0.55,74.7,Pedalata_pomeridiana_1_214_Wh.fit,True,True,False,0.638,174.3,True,1.0,endurance_z2,50.7
omar,30.4,200.6,success,STEADY,0.5,110.1,Pedalata_pomeridiana_1_468_Wh.fit,True,True,False,0.77,210.2,True,0.79,tempo,108.6
omar,120.6,163.7,success,UNCLASSIFIED,0.3,110.2,Pedalata_pomeridiana_1_471_Wh.fit,True,True,False,0.722,197.1,True,0.94,unknown,95.6
omar,129.4,175.7,success,UNCLASSIFIED,0.3,65.7,Pedalata_pomeridiana_873_Wh.fit,True,True,False,0.713,194.8,True,1.0,unknown,55.7
omar,129.1,167.8,success,STEADY,0.55,118.4,Pedalata_pomeridiana_tra_la_1a_e_la_2a_mano_di_colore_1_575_Wh.fit,True,True,False,0.675,184.4,True,1.0,endurance_z2,89.9
omar,133.2,199.1,success,STEADY,0.5,91.5,Pedalata_serale_1_235_Wh.fit,True,True,False,0.772,210.9,True,1.0,tempo,91.0
omar,124.7,183.1,success,STEADY,0.55,95.2,Pedalata_serale_1_282_Wh.fit,True,True,False,0.693,189.3,True,1.0,endurance_z2,76.3
omar,135.1,200.4,success,STEADY,0.5,100.7,Pedalata_serale_1_350_Wh.fit,True,True,False,0.783,213.9,True,1.0,tempo,103.0
omar,99.5,131.3,success,TEST,0.55,75.6,Pedalata_serale_837_Wh.fit,True,True,False,0.601,164.1,True,0.82,sprint_set,45.5
omar,134.0,177.6,success,FREE,0.45,292.2,San_Lorenzo_Pian_dele_Femene_Grotte_Cansiglio_3_736_Wh.fit,True,True,False,0.805,219.8,True,0.88,race,315.4
omar,148.9,213.7,success,STEADY,0.95,119.1,Sweet_spot_4x15_Z3_8_1_599_Wh.fit,True,True,False,0.856,233.7,True,1.0,sweet_spot,145.4
omar,118.5,154.6,success,FREE,0.45,470.2,Valle_del_Mis_Cereda_Rolle_Valles_Agordo_Valle_del_Mis_5_344_Wh.fit,True,True,False,0.756,206.4,True,0.7,race,447.8
omar,148.2,221.2,success,HIIT,0.45,63.0,c8e17097-856a-413d-8a11-51218784d0b8.fit,True,True,False,0.917,250.5,True,1.0,hiit_unspecified,88.4
omar,133.1,190.5,success,HIIT,0.45,22.2,eb8e0409-90b4-4c69-9ad9-68c67dfa6435.fit,True,True,False,0.938,256.3,True,1.0,hiit_unspecified,32.7
